"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples","MutationPercentage","MutationGroup"
"SCARF1",0,0,0,0,31,0,0,0,0,31,8,8,100,"76-100%"
"TNN",0,0,0,0,31,0,0,0,0,31,8,8,100,"76-100%"
"TYW1B",0,8,0,0,16,7,0,0,0,31,8,8,100,"76-100%"
"ZC3H3",0,0,0,1,28,2,0,0,0,31,8,8,100,"76-100%"
"ZNF701",0,0,0,0,31,0,0,0,0,31,8,8,100,"76-100%"
"ARMCX4",0,0,0,4,26,0,0,0,0,30,8,8,100,"76-100%"
"CILP",0,0,0,0,30,0,0,0,0,30,8,8,100,"76-100%"
"COBL",0,0,4,0,26,0,0,0,0,30,8,8,100,"76-100%"
"DNAH10",0,0,0,0,30,0,0,0,0,30,8,8,100,"76-100%"
"KRTAP4-1",0,0,2,0,28,0,0,0,0,30,8,8,100,"76-100%"
"LPA",0,0,0,0,28,0,0,2,0,30,8,8,100,"76-100%"
"MICB",0,0,0,0,30,0,0,0,0,30,8,8,100,"76-100%"
"OR2M7",0,0,0,0,30,0,0,0,0,30,8,8,100,"76-100%"
"OR52E4",0,0,0,0,30,0,0,0,0,30,8,8,100,"76-100%"
"PKD1L1",0,0,0,0,30,0,0,0,0,30,8,8,100,"76-100%"
"PXDNL",1,0,0,0,29,0,0,0,0,30,8,8,100,"76-100%"
"RHBG",0,8,0,0,22,0,0,0,0,30,8,8,100,"76-100%"
"SLC35G6",0,0,0,0,22,8,0,0,0,30,8,8,100,"76-100%"
"SP110",0,0,0,0,30,0,0,0,0,30,8,8,100,"76-100%"
"SPPL2C",0,0,0,0,30,0,0,0,0,30,8,8,100,"76-100%"
"VWF",0,0,0,0,30,0,0,0,0,30,8,8,100,"76-100%"
"ZFPM1",0,0,9,0,21,0,0,0,0,30,8,8,100,"76-100%"
"ZNF221",0,0,0,0,30,0,0,0,0,30,8,8,100,"76-100%"
"APOL4",5,0,0,0,23,0,0,1,0,29,8,8,100,"76-100%"
"CCDC7",0,0,0,0,28,0,0,1,0,29,8,8,100,"76-100%"
"EHBP1L1",0,0,0,0,29,0,0,0,0,29,8,8,100,"76-100%"
"FCRL5",0,0,0,0,29,0,0,0,0,29,8,8,100,"76-100%"
"KLHL33",0,0,0,0,29,0,0,0,0,29,8,8,100,"76-100%"
"LRP2",0,0,0,0,29,0,0,0,0,29,8,8,100,"76-100%"
"LUZP1",0,0,0,0,29,0,0,0,0,29,8,8,100,"76-100%"
"MIA2",0,0,0,0,26,0,0,3,0,29,8,8,100,"76-100%"
"MUC5AC",0,1,0,0,28,0,0,0,0,29,8,8,100,"76-100%"
"NEIL3",0,0,0,0,29,0,0,0,0,29,8,8,100,"76-100%"
"OR52N1",1,0,0,0,28,0,0,0,0,29,8,8,100,"76-100%"
"OVCH2",0,0,0,0,29,0,0,0,0,29,8,8,100,"76-100%"
"P2RX7",0,0,0,0,29,0,0,0,0,29,8,8,100,"76-100%"
"PERM1",0,0,0,0,29,0,0,0,0,29,8,8,100,"76-100%"
"PITRM1",0,0,0,0,29,0,0,0,0,29,8,8,100,"76-100%"
"POM121L2",0,0,0,0,29,0,0,0,0,29,8,8,100,"76-100%"
"SLC22A24",0,0,0,0,19,7,0,3,0,29,8,8,100,"76-100%"
"SLC39A4",0,0,0,0,29,0,0,0,0,29,8,8,100,"76-100%"
"TICRR",0,0,0,0,29,0,0,0,0,29,8,8,100,"76-100%"
"ZNF112",0,0,0,0,29,0,0,0,0,29,8,8,100,"76-100%"
"ABO",0,3,0,0,24,0,0,1,0,28,8,8,100,"76-100%"
"C3orf20",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"CEP295",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"CHIA",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"DNAH7",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"EBLN1",0,0,0,6,22,0,0,0,0,28,8,8,100,"76-100%"
"EFHB",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"FREM1",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"FYCO1",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"KRT10",0,0,5,3,20,0,0,0,0,28,8,8,100,"76-100%"
"KRT77",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"LGALS8",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"LINS1",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"MYH4",0,0,0,0,27,0,0,1,0,28,8,8,100,"76-100%"
"NUGGC",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"OR51B2",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"OR8H2",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"PDLIM5",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"POLQ",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"PPL",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"RBM19",0,0,0,1,27,0,0,0,0,28,8,8,100,"76-100%"
"SEC16B",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"SPATA31F1",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"TNRC18",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"TRIM66",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"TUBGCP6",0,0,0,0,28,0,0,0,0,28,8,8,100,"76-100%"
"ABCC6",0,0,0,0,27,0,0,0,0,27,8,8,100,"76-100%"
"ADGRE2",0,0,0,0,27,0,0,0,0,27,8,8,100,"76-100%"
"CCDC170",0,0,0,0,27,0,0,0,0,27,8,8,100,"76-100%"
